Postcode,Latitude,Longitude
AB1 0,57.1002,-2.25814
AB1 1,57.1497,-2.10779
AB1 2,57.1413,-2.10079
AB1 3,57.1355,-2.08174
AB1 4,57.0949,-2.10282
AB1 5,57.1166,-2.1142
AB1 6,57.1363,-2.12329
AB1 7,57.1275,-2.14021
AB1 8,57.1452,-2.19522
AB1 9,57.118,-2.18642
AB2 0,57.2255,-2.21146
AB2 1,57.1579,-2.09048
AB2 2,57.1697,-2.1261
AB2 3,57.1591,-2.10717
AB2 4,57.1488,-2.12493
AB2 5,57.1599,-2.14562
AB2 6,57.1512,-2.16327
AB2 7,57.1676,-2.15882
AB2 8,57.1867,-2.10998
AB2 9,57.1797,-2.18397
AB3 1,56.8472,-2.47933
AB3 2,56.9751,-2.22391
AB3 3,57.0539,-2.46245
AB3 4,57.1107,-2.67358
AB3 5,57.0623,-2.94508
AB3 6,57.1524,-2.30293
AB3 7,57.1829,-2.4931
AB3 8,57.2186,-2.81048
AB3 9,57.4052,-3.27904
AB4 0,57.3395,-2.1496
AB4 1,57.6669,-2.50863
AB4 2,57.6537,-2.68374
AB4 3,57.6312,-2.48328
AB4 4,57.6269,-2.09442
AB4 5,57.6835,-2.00383
AB4 6,57.5053,-1.79246
AB4 7,57.4856,-1.87499
AB4 8,57.5182,-2.09874
AB4 9,57.3894,-2.06451
AB5 0,57.2788,-2.30032
AB5 1,57.6753,-2.96481
AB5 2,57.6717,-2.89584
AB5 3,57.5447,-2.95647
AB5 4,57.401,-2.92406
AB5 5,57.4987,-2.7279
AB5 6,57.3784,-2.62499
AB5 7,57.5566,-2.42589
AB5 8,57.453,-2.40456
AB5 9,57.2876,-2.4182
AB9 1,57.1457,-2.10624
AB9 2,57.1456,-2.11125
AB9 5,57.1457,-2.10442
AB9 6,57.139,-2.12068
AB9 7,,
AB9 8,57.1504,-2.12031
AB10 1,57.1423,-2.10604
AB10 6,57.1347,-2.11897
AB10 7,57.1249,-2.1308
AB11 3,,
AB11 5,57.1422,-2.08974
AB11 6,57.1382,-2.10318
AB11 7,57.1327,-2.10153
AB11 8,57.1335,-2.0816
AB11 9,57.1338,-2.08408
AB12 3,57.1074,-2.08926
AB12 4,57.0687,-2.13143
AB12 5,57.1124,-2.12792
AB12 9,57.126,-2.0952
AB13 0,57.1125,-2.24445
AB14 0,57.1033,-2.27251
AB15 4,57.1429,-2.13758
AB15 5,57.1491,-2.136
AB15 6,57.1477,-2.16063
AB15 7,57.1322,-2.14822
AB15 8,57.1467,-2.19339
AB15 9,57.1203,-2.18359
AB16 5,57.1594,-2.14858
AB16 6,57.1544,-2.16724
AB16 7,57.1672,-2.15783
AB16 9,57.1533,-2.15306
AB21 0,57.2323,-2.22809
AB21 1,57.1998,-2.1909
AB21 7,57.2092,-2.18311
AB21 9,57.181,-2.18222
AB22 8,57.1864,-2.11911
AB22 9,,
AB23 8,57.2096,-2.08942
AB23 9,57.185,-2.09625
AB24 1,57.1684,-2.09548
AB24 2,57.1708,-2.11942
AB24 3,57.1616,-2.10517
AB24 4,57.166,-2.12738
AB24 5,57.1552,-2.09344
AB25 1,57.1515,-2.10746
AB25 2,57.1512,-2.11973
AB25 3,57.1577,-2.11471
AB25 9,57.1596,-2.11796
AB30 1,56.8462,-2.47758
AB30 9,56.8346,-2.46389
AB31 3,57.0541,-2.46556
AB31 4,57.0994,-2.60693
AB31 5,57.0631,-2.46008
AB31 6,57.0361,-2.48186
AB31 9,57.0573,-2.48588
AB32 6,57.1526,-2.3006
AB32 7,57.1683,-2.41182
AB32 9,57.1485,-2.2888
AB33 8,57.226,-2.73711
AB34 4,57.1308,-2.85686
AB34 5,57.0797,-2.79422
AB35 5,57.0389,-3.14438
AB36 8,57.1962,-3.07222
AB37 9,57.3308,-3.35315
AB38 7,57.5035,-3.2523
AB38 9,57.4738,-3.21162
AB39 2,56.9609,-2.22028
AB39 3,57.0011,-2.21547
AB39 8,57.0319,-2.17478
AB39 9,56.9653,-2.20794
AB41 0,57.3659,-2.16718
AB41 1,57.3665,-2.08402
AB41 6,57.3172,-2.08381
AB41 7,57.389,-2.20244
AB41 8,57.3965,-2.05844
AB41 9,57.366,-2.07767
AB42 0,57.4311,-1.88297
AB42 1,57.5087,-1.78953
AB42 2,57.5007,-1.80183
AB42 3,57.5092,-1.82368
AB42 4,57.5314,-2.00774
AB42 5,57.5045,-2.03651
AB42 6,57.5062,-1.79454
AB42 7,57.4847,-1.87336
AB42 8,57.5168,-2.05851
AB42 9,57.4954,-1.80827
AB43 1,57.6912,-2.00586
AB43 4,57.6276,-2.09565
AB43 5,57.6828,-2.00401
AB43 6,57.6061,-2.15663
